CCE,Rule ID,Title,Discussion,Mechanism,Check,Check Result,Fix,800-53r5,800-171,SRG,SFR,DISA STIG,CIS Benchmark,CIS v8,CMMC,indigo,CCI,Severity,Modified Rule
CCE-92701-2,audit_acls_files_configure,Configure Audit Log Files to Not Contain Access Control Lists,"The audit log files _MUST_ not contain access control lists (ACLs).

This rule ensures that audit information and audit files are configured to be readable and writable only by system administrators, thereby preventing unauthorized access, modification, and deletion of files.
",Script,"/bin/ls -le $(/usr/bin/grep '^dir' /etc/security/audit_control | /usr/bin/awk -F: '{print $2}') | /usr/bin/awk '{print $1}' | /usr/bin/grep -c "":""
",{'integer': 0},"[source,bash]
----
/bin/chmod -RN /var/audit
----
",AU-9,03.03.08,"SRG-OS-000256-GPOS-00097
SRG-OS-000057-GPOS-00027
SRG-OS-000059-GPOS-00029
SRG-OS-000257-GPOS-00098
SRG-OS-000258-GPOS-00099
SRG-OS-000058-GPOS-00028",,APPL-14-000030,3.5 (level 1),3.3,AU.L2-3.3.8,,"CCI-000162
CCI-000163
CCI-000164
CCI-001314
CCI-001493
CCI-001494
CCI-001495",medium,
CCE-92702-0,audit_acls_folders_configure,Configure Audit Log Folder to Not Contain Access Control Lists,"The audit log folder _MUST_ not contain access control lists (ACLs).

Audit logs contain sensitive data about the system and users. This rule ensures that the audit service is configured to create log folders that are readable and writable only by system administrators in order to prevent normal users from reading audit logs.
",Script,"/bin/ls -lde /var/audit | /usr/bin/awk '{print $1}' | /usr/bin/grep -c "":""
",{'integer': 0},"[source,bash]
----
/bin/chmod -N /var/audit
----
",AU-9,03.03.08,"SRG-OS-000256-GPOS-00097
SRG-OS-000057-GPOS-00027
SRG-OS-000059-GPOS-00029
SRG-OS-000257-GPOS-00098
SRG-OS-000258-GPOS-00099
SRG-OS-000058-GPOS-00028",,APPL-14-000031,3.5 (level 1),3.3,AU.L2-3.3.8,,"CCI-000162
CCI-000162
CCI-000163
CCI-000164
CCI-001493
CCI-001494
CCI-001495",medium,
CCE-92704-6,audit_auditd_enabled,Enable Security Auditing,"The information system _MUST_ be configured to generate audit records.

Audit records establish what types of events have occurred, when they occurred, and which users were involved. These records aid an organization in their efforts to establish, correlate, and investigate the events leading up to an outage or attack.

The content required to be captured in an audit record varies based on the impact level of an organization's system. Content that may be necessary to satisfy this requirement includes, for example, time stamps, source addresses, destination addresses, user identifiers, event descriptions, success/fail indications, filenames involved, and access or flow control rules invoked.

The information system initiates session audits at system start-up.

NOTE: Security auditing is NOT enabled by default on macOS Sonoma.
",Script,"LAUNCHD_RUNNING=$(/bin/launchctl list | /usr/bin/grep -c com.apple.auditd)
AUDITD_RUNNING=$(/usr/sbin/audit -c | /usr/bin/grep -c ""AUC_AUDITING"")
if [[ $LAUNCHD_RUNNING == 1 ]] && [[ -e /etc/security/audit_control ]] && [[ $AUDITD_RUNNING == 1 ]]; then
  echo ""pass""
else
  echo ""fail""
fi
",{'string': 'pass'},"[source,bash]
----
if [[ ! -e /etc/security/audit_control ]] && [[ -e /etc/security/audit_control.example ]];then
  /bin/cp /etc/security/audit_control.example /etc/security/audit_control
fi

/bin/launchctl enable system/com.apple.auditd
/bin/launchctl bootstrap system /System/Library/LaunchDaemons/com.apple.auditd.plist
/usr/sbin/audit -i
----
","AU-3
AU-3(1)
AU-8
AU-12
AU-12(1)
AU-12(3)
AU-14(1)
MA-4(1)
CM-5(1)","03.03.02
03.03.03
03.03.07","SRG-OS-000255-GPOS-00096
SRG-OS-000474-GPOS-00219
SRG-OS-000465-GPOS-00209
SRG-OS-000473-GPOS-00218
SRG-OS-000337-GPOS-00129
SRG-OS-000359-GPOS-00146
SRG-OS-000472-GPOS-00217
SRG-OS-000257-GPOS-00098
SRG-OS-000466-GPOS-00210
SRG-OS-000042-GPOS-00020
SRG-OS-000468-GPOS-00212
SRG-OS-000392-GPOS-00172
SRG-OS-000463-GPOS-00207
SRG-OS-000039-GPOS-00017
SRG-OS-000467-GPOS-00211
SRG-OS-000470-GPOS-00214
SRG-OS-000461-GPOS-00205
SRG-OS-000258-GPOS-00099
SRG-OS-000471-GPOS-00215
SRG-OS-000458-GPOS-00203
SRG-OS-000037-GPOS-00015
SRG-OS-000040-GPOS-00018
SRG-OS-000471-GPOS-00216
SRG-OS-000476-GPOS-00221
SRG-OS-000254-GPOS-00095
SRG-OS-000042-GPOS-00021
SRG-OS-000358-GPOS-00145
SRG-OS-000477-GPOS-00222
SRG-OS-000365-GPOS-00152
SRG-OS-000475-GPOS-00220
SRG-OS-000041-GPOS-00019
SRG-OS-000038-GPOS-00016
SRG-OS-000462-GPOS-00206
SRG-OS-000055-GPOS-00026",,APPL-14-001003,3.1 (level 1),"8.2
8.5","AU.L2-3.3.2
AU.L2-3.3.6",,"CCI-000130
CCI-000131
CCI-000132
CCI-000133
CCI-000134
CCI-000135
CCI-000159
CCI-001464
CCI-001487
CCI-001889
CCI-001890
CCI-001914
CCI-002130",medium,
CCE-92705-3,audit_configure_capacity_notify,Configure Audit Capacity Warning,"The audit service _MUST_ be configured to notify the system administrator when the amount of free disk space remaining reaches an organization defined value.

This rule ensures that the system administrator is notified in advance that action is required to free up more disk space for audit logs.
",Script,"/usr/bin/awk -F: '/^minfree/{print $2}' /etc/security/audit_control
",{'integer': 25},"[source,bash]
----
/usr/bin/sed -i.bak 's/.*minfree.*/minfree:25/' /etc/security/audit_control; /usr/sbin/audit -s
----
",AU-5(1),,"SRG-OS-000046-GPOS-00022
SRG-OS-000343-GPOS-00134",,APPL-14-001030,,,,,"CCI-000139
CCI-001855",low,
CCE-92706-1,audit_control_acls_configure,Configure Audit_Control to Not Contain Access Control Lists,"/etc/security/audit_control _MUST_ not contain Access Control Lists (ACLs).
",Script,"/bin/ls -le /etc/security/audit_control | /usr/bin/awk '{print $1}' | /usr/bin/grep -c "":""
",{'integer': 0},"[source,bash]
----
/bin/chmod -N /etc/security/audit_control
----
",AU-9,03.03.08,"SRG-OS-000256-GPOS-00097
SRG-OS-000057-GPOS-00027
SRG-OS-000063-GPOS-00032
SRG-OS-000059-GPOS-00029
SRG-OS-000257-GPOS-00098
SRG-OS-000258-GPOS-00099
SRG-OS-000058-GPOS-00028",,APPL-14-001140,3.5 (level 1),3.3,AU.L2-3.3.8,,"CCI-000162
CCI-000163
CCI-000164
CCI-000171
CCI-001493
CCI-001494
CCI-001495",medium,
CCE-92707-9,audit_control_group_configure,Configure Audit_Control Group to Wheel,"/etc/security/audit_control _MUST_ have the group set to wheel.
",Script,"/bin/ls -dn /etc/security/audit_control | /usr/bin/awk '{print $4}'
",{'integer': 0},"[source,bash]
----
/usr/bin/chgrp wheel /etc/security/audit_control
----
",AU-9,03.03.08,"SRG-OS-000256-GPOS-00097
SRG-OS-000057-GPOS-00027
SRG-OS-000063-GPOS-00032
SRG-OS-000059-GPOS-00029
SRG-OS-000257-GPOS-00098
SRG-OS-000258-GPOS-00099
SRG-OS-000058-GPOS-00028",,APPL-14-001110,3.5 (level 1),3.3,AU.L2-3.3.8,,"CCI-000162
CCI-000163
CCI-000164
CCI-000171
CCI-001493
CCI-001494
CCI-001495",medium,
CCE-92708-7,audit_control_mode_configure,Configure Audit_Control Owner to Mode 440 or Less Permissive,"/etc/security/audit_control _MUST_ be configured so that it is readable only by the root user and group wheel.
",Script,"/bin/ls -l /etc/security/audit_control | /usr/bin/awk '!/-r--[r-]-----|current|total/{print $1}' | /usr/bin/wc -l | /usr/bin/xargs
",{'integer': 0},"[source,bash]
----
/bin/chmod 440 /etc/security/audit_control
----
",AU-9,03.03.08,"SRG-OS-000256-GPOS-00097
SRG-OS-000057-GPOS-00027
SRG-OS-000063-GPOS-00032
SRG-OS-000059-GPOS-00029
SRG-OS-000257-GPOS-00098
SRG-OS-000258-GPOS-00099
SRG-OS-000058-GPOS-00028",,APPL-14-001130,3.5 (level 1),3.3,AU.L2-3.3.8,,"CCI-000162
CCI-000163
CCI-000164
CCI-000171
CCI-001493
CCI-001494
CCI-001495",medium,
CCE-92709-5,audit_control_owner_configure,Configure Audit_Control Owner to Root,"/etc/security/audit_control _MUST_ have the owner set to root.
",Script,"/bin/ls -dn /etc/security/audit_control | /usr/bin/awk '{print $3}'
",{'integer': 0},"[source,bash]
----
/usr/sbin/chown root /etc/security/audit_control
----
",AU-9,03.03.08,"SRG-OS-000256-GPOS-00097
SRG-OS-000057-GPOS-00027
SRG-OS-000063-GPOS-00032
SRG-OS-000059-GPOS-00029
SRG-OS-000257-GPOS-00098
SRG-OS-000258-GPOS-00099
SRG-OS-000058-GPOS-00028",,APPL-14-001120,3.5 (level 1),3.3,AU.L2-3.3.8,,"CCI-000162
CCI-000163
CCI-000164
CCI-000171
CCI-001493
CCI-001494
CCI-001495",medium,
CCE-92711-1,audit_failure_halt,Configure System to Shut Down Upon Audit Failure,"The audit service _MUST_ be configured to shut down the computer if it is unable to audit system events.

Once audit failure occurs, user and system activity are no longer recorded, and malicious activity could go undetected. Audit processing failures can occur due to software/hardware errors, failures in the audit capturing mechanisms, and audit storage capacity being reached or exceeded.
",Script,"/usr/bin/awk -F':' '/^policy/ {print $NF}' /etc/security/audit_control | /usr/bin/tr ',' '\n' | /usr/bin/grep -Ec 'ahlt'
",{'integer': 1},"[source,bash]
----
/usr/bin/sed -i.bak 's/^policy.*/policy: ahlt,argv/' /etc/security/audit_control; /usr/sbin/audit -s
----
",AU-5,03.03.04,SRG-OS-000047-GPOS-00023,,APPL-14-001010,,,AU.L2-3.3.4,,CCI-000140,medium,
CCE-92712-9,audit_files_group_configure,Configure Audit Log Files Group to Wheel,"Audit log files _MUST_ have the group set to wheel.

The audit service _MUST_ be configured to create log files with the correct group ownership to prevent normal users from reading audit logs.

Audit logs contain sensitive data about the system and users. If log files are set to be readable and writable only by system administrators, the risk is mitigated.
",Script,"/bin/ls -n $(/usr/bin/grep '^dir' /etc/security/audit_control | /usr/bin/awk -F: '{print $2}') | /usr/bin/awk '{s+=$4} END {print s}'
",{'integer': 0},"[source,bash]
----
/usr/bin/chgrp -R wheel /var/audit/*
----
",AU-9,03.03.08,"SRG-OS-000256-GPOS-00097
SRG-OS-000057-GPOS-00027
SRG-OS-000059-GPOS-00029
SRG-OS-000257-GPOS-00098
SRG-OS-000258-GPOS-00099
SRG-OS-000058-GPOS-00028",,APPL-14-001014,3.5 (level 1),3.3,AU.L2-3.3.8,,"CCI-000162
CCI-000163
CCI-000164
CCI-001493
CCI-001494
CCI-001495",medium,
